Episode,Reward_CP_0.5,Reward_CP_0.7,Epsilon
459.0,10.0,10.0,0.014652035859950967
460.0,9.0,9.0,0.014614506568307699
461.0,17.0,17.0,0.01454444197870272
462.0,10.0,10.0,0.014503725499884934
463.0,13.0,13.0,0.014451338970332139
464.0,11.0,11.0,0.014407488134315253
465.0,11.0,11.0,0.0143640692797386
466.0,10.0,10.0,0.014324968871983246
467.0,17.0,17.0,0.014259300492366888
468.0,9.0,9.0,0.014224939508232934
469.0,10.0,10.0,0.014187085650531686
470.0,10.0,10.0,0.01414957094905743
471.0,10.0,10.0,0.01411239236509883
472.0,16.0,16.0,0.014053598248638739
473.0,10.0,10.0,0.014017279543724035
474.0,9.0,9.0,0.01398487101117017
475.0,10.0,10.0,0.013949168076271171
476.0,10.0,10.0,0.013913785026145561
477.0,10.0,10.0,0.013878718994746936
478.0,10.0,10.0,0.013843967141707584
479.0,12.0,12.0,0.013802675671866587
480.0,10.0,10.0,0.013768605138197096
481.0,10.0,10.0,0.013734839863604284
482.0,9.0,9.0,0.013704709851991778
483.0,9.0,9.0,0.01367482290772163
484.0,10.0,10.0,0.013641897886391712
485.0,10.0,10.0,0.013609267860781808
486.0,10.0,10.0,0.013576930187841998
487.0,9.0,9.0,0.013548074078334589
488.0,16.0,16.0,0.013497347916516706
489.0,10.0,10.0,0.013466013003885271
490.0,9.0,9.0,0.013438051694734153
491.0,10.0,10.0,0.013407248053790089
492.0,10.0,10.0,0.013376720401801302
493.0,16.0,16.0,0.013328444051946758
494.0,9.0,9.0,0.013301592550517204
495.0,18.0,18.0,0.013248537656148673
496.0,20.0,20.0,0.013190587098017795
497.0,12.0,12.0,0.013156314164333369
498.0,10.0,10.0,0.013128034784947158
499.0,10.0,10.0,0.013100008778088786
500.0,9.0,9.0,0.013075000128750729
501.0,9.0,9.0,0.01305019323127419
502.0,9.0,9.0,0.013025586458069734
503.0,23.0,23.0,0.012963600585513385
504.0,12.0,12.0,0.012931765915838474
505.0,20.0,20.0,0.012879466238532795
506.0,19.0,19.0,0.012830645968782375
507.0,10.0,10.0,0.012805284453074021
508.0,10.0,10.0,0.01278015016694016
509.0,11.0,11.0,0.01275276247306078
